Latitude,Longitude,Elevation
42.70132000,18.04596000,20.0
42.70137000,18.04594000,20.0
42.70141000,18.04593000,21.0
42.70146000,18.04593000,21.0
42.70150000,18.04593000,22.0
42.70158000,18.04590000,22.0
42.70163000,18.04588000,23.0
42.70167000,18.04587000,23.0
42.70172000,18.04585000,23.0
42.70176000,18.04583000,23.0
42.70182000,18.04579000,23.0
42.70186000,18.04577000,23.0
42.70191000,18.04573000,23.0
42.70195000,18.04570000,22.0
42.70199000,18.04566000,22.0
42.70203000,18.04562000,21.0
42.70206000,18.04556000,20.0
42.70209000,18.04550000,19.0
42.70213000,18.04545000,19.0
42.70217000,18.04539000,19.0
42.70219000,18.04532000,17.0
42.70224000,18.04526000,18.0
42.70228000,18.04519000,18.0
42.70232000,18.04512000,19.0
42.70235000,18.04504000,19.0
42.70239000,18.04497000,19.0
42.70243000,18.04489000,21.0
42.70246000,18.04482000,21.0
42.70248000,18.04473000,22.0
42.70250000,18.04465000,22.0
42.70252000,18.04457000,22.0
42.70253000,18.04449000,22.0
42.70254000,18.04442000,22.0
42.70254000,18.04434000,21.0
42.70255000,18.04426000,21.0
42.70255000,18.04418000,21.0
42.70254000,18.04411000,20.0
42.70254000,18.04404000,20.0
42.70254000,18.04396000,20.0
42.70254000,18.04389000,20.0
42.70253000,18.04381000,20.0
42.70252000,18.04374000,21.0
42.70251000,18.04368000,21.0
42.70249000,18.04361000,21.0
42.70247000,18.04354000,22.0
42.70245000,18.04347000,23.0
42.70243000,18.04341000,24.0
42.70240000,18.04335000,23.0
42.70237000,18.04329000,23.0
42.70234000,18.04323000,22.0
42.70231000,18.04318000,21.0
42.70227000,18.04312000,20.0
42.70224000,18.04304000,20.0
42.70221000,18.04297000,19.0
42.70217000,18.04290000,19.0
42.70213000,18.04285000,18.0
42.70209000,18.04280000,18.0
42.70204000,18.04274000,17.0
42.70200000,18.04268000,17.0
42.70196000,18.04261000,17.0
42.70192000,18.04255000,17.0
42.70190000,18.04248000,18.0
42.70188000,18.04240000,18.0
42.70185000,18.04233000,18.0
42.70182000,18.04224000,19.0
42.70180000,18.04216000,19.0
